Numero,DataOcorrencia,DataFechoOperacional,Natureza,EstadoOcorrencia,Distrito,Concelho,Freguesia,Localidade,Latitude,Longitude,NumeroMeiosTerrestresEnvolvidos,NumeroOperacionaisTerrestresEnvolvidos,NumeroMeiosAereosEnvolvidos,NumeroOperacionaisAereosEnvolvidos,
2018040000040,01/01/2018 14:25:00,,Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Abastecimento de Água à População,Despacho de 1º Alerta,BRAGANÇA,BRAGANÇA,Sendas,SENDAS,"41,6096903212863","-6,83871587683866",1,2,0,0,
2018150000094,01/01/2018 05:24:00,01/01/2018 06:20:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,SETÚBAL,SEIXAL,Corroios,Corroios,"38,6184656878162","-9,15579559244205",1,2,0,0,
2018130000041,01/01/2018 01:17:00,01/01/2018 02:05:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Intoxicação,Encerrada,PORTO,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,Gaia,"41,1296999228497","-8,62377752126729",1,2,0,0,
2018110001344,02/01/2018 17:54:00,02/01/2018 19:15:00,Riscos Tecnológicos / Acidentes / Despiste,Encerrada,LISBOA,OEIRAS,Barcarena,BARCARENA,"38,73787","-9,28261",5,12,0,0,
2018060000416,03/01/2018 18:24:00,03/01/2018 19:34:00,"Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Busca e Resgate Terrestre, de Animais",Encerrada,COIMBRA,COIMBRA,Eiras e São Paulo de Frades,EIRAS,"40,248789","-8,423418",1,3,0,0,
2018180000391,03/01/2018 09:23:00,03/01/2018 10:23:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,VISEU,LAMEGO,Penude,PENUDE,"41,0835791415147","-7,84870817953472",1,3,0,0,
2018040000347,04/01/2018 17:27:00,04/01/2018 20:00:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,BRAGANÇA,ALFÂNDEGA DA FÉ,Vilarelhos,VILARELHOS,"41,3472730106275","-7,03621161386335",1,2,0,0,
2018130002006,04/01/2018 01:22:00,04/01/2018 02:08:03,Riscos Tecnológicos / Acidentes industriais e tecnológicos / Fuga de Gás em conduta,Falso Alerta,PORTO,GONDOMAR,Rio Tinto,RIO_TINTO,"41,166494","-8,559841",0,0,0,0,
2018150001519,05/01/2018 10:36:00,,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Despacho de 1º Alerta,SETÚBAL,SINES,Sines,SINES,"37,963534","-8,854536",1,2,0,0,
2018130003629,06/01/2018 18:34:00,06/01/2018 20:11:00,Riscos Tecnológicos / Acidentes / Colisão rodoviária,Encerrada,PORTO,VALONGO,Ermesinde,Ermesinde,"41,21602","-8,549319",1,3,0,0,
2018030001756,06/01/2018 13:50:00,06/01/2018 17:15:00,Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Prevenção a actividades de lazer,Encerrada,BRAGA,BARCELOS,"Barcelos, V. Boa e V. Frescainha","BARCELOS, VILA BOA E VILA FRESCAINHA (SÃ","41,53752827","-8,631631627",2,11,0,0,
2018030001621,06/01/2018 01:27:00,06/01/2018 02:48:00,Riscos Tecnológicos / Acidentes / Despiste,Encerrada,BRAGA,AMARES,Amares e Figueiredo,Rua de Paço,"41,629705","-8,338062",4,12,0,0,
2018110004863,07/01/2018 16:13:00,,Riscos Tecnológicos / Acidentes / Atropelamento rodoviário,Em Resolução,LISBOA,SINTRA,Agualva e Mira-Sintra,Agualva,"38,769933","-9,294104",2,4,0,0,
2018110004574,07/01/2018 08:43:00,07/01/2018 09:46:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,LISBOA,OEIRAS,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",Linda a Velha,"38,7153841625401","-9,24490294978563",1,2,0,0,
2018110005622,08/01/2018 17:49:00,,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Chegada ao TO,LISBOA,LISBOA,Penha de França,PENHA DE FRANÇA,"38,72642769","-9,120540501",0,0,0,0,
2018130005368,09/01/2018 19:35:00,09/01/2018 20:45:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Intoxicação,Encerrada,PORTO,MATOSINHOS,São Mamede de Infesta e Senhora da Hora,SÃO MAMEDE DE INFESTA E SENHORA DA HORA,"41,18895662","-8,630368839",1,2,0,0,
2018130005065,09/01/2018 10:55:00,09/01/2018 11:45:00,Protecção e Assistência a Pessoas e Bens / Intervenção em conflitos legais / Agressão/Violação,Encerrada,PORTO,VILA NOVA DE GAIA,Mafamude e Vilar do Paraíso,MAFAMUDE,"41,126193","-8,601126",1,2,0,0,
2018130005886,10/01/2018 18:15:00,10/01/2018 21:09:00,Riscos Tecnológicos / Acidentes / Atropelamento rodoviário,Encerrada,PORTO,SANTO TIRSO,Negrelos (São Tomé),NEGRELOS (São Tomé),"41,347422","-8,406756",3,6,0,0,
2018140002197,11/01/2018 23:30:00,,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Intoxicação,Despacho de 1º Alerta,SANTARÉM,ENTRONCAMENTO,São João Baptista,Entroncamento,"39,4615034974694","-8,47239385165067",1,3,0,0,
2018110007807,11/01/2018 16:31:00,11/01/2018 17:13:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,LISBOA,CASCAIS,Cascais e Estoril,Aldeia de Juzo,"38,7282737","-9,45283259999997",1,2,0,0,
2018110008693,12/01/2018 19:39:00,12/01/2018 21:29:00,Riscos Tecnológicos / Acidentes / Colisão rodoviária,Encerrada,LISBOA,LOURES,Sacavém e Prior Velho,SACAVÉM,"38,7941","-9,10748",2,6,0,0,
2018050001452,12/01/2018 11:54:00,12/01/2018 12:20:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,CASTELO BRANCO,CASTELO BRANCO,Castelo Branco,CASTELO BRANCO,"39,8233098332211","-7,4707262775456",1,2,0,0,
2018140002558,13/01/2018 19:42:00,13/01/2018 20:48:00,Protecção e Assistência a Pessoas e Bens / Intervenção em conflitos legais / Agressão/Violação,Encerrada,SANTARÉM,ENTRONCAMENTO,Nossa Senhora de Fátima,ENTRONCAMENTO,"39,466869","-8,485202",2,4,0,0,
2018080001689,13/01/2018 14:32:00,13/01/2018 15:06:00,Riscos Mistos / Incêndios em Detritos / Detritos confinados,Encerrada,FARO,FARO,Montenegro,FARO#MONTENEGRO,"37,027899","-7,963334",2,7,0,0,
2018120000832,13/01/2018 04:05:00,13/01/2018 05:55:00,Riscos Tecnológicos / Acidentes / Despiste,Encerrada,PORTALEGRE,CAMPO MAIOR,São João Baptista,CAMPO MAIOR,"39,015717","-7,071243",2,4,0,0,
2018170001188,14/01/2018 15:26:00,14/01/2018 16:10:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,VILA REAL,CHAVES,Santa Maria Maior,Santa Maria Maior,"41,7400783586928","-7,47794843954856",1,2,0,0,
2018150004478,14/01/2018 10:02:00,14/01/2018 10:42:00,Riscos Tecnológicos / Acidentes / Colisão rodoviária,Encerrada,SETÚBAL,MOITA,Moita,Moita,"38,642955","-8,972325",4,11,0,0,
2018140002954,15/01/2018 20:08:00,15/01/2018 22:27:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,SANTARÉM,FERREIRA DO ZÊZERE,Nossa Senhora do Pranto,Paio Mendes,"39,7511590617765","-8,27328939253466",1,2,0,0,
2018110010126,15/01/2018 04:13:00,15/01/2018 05:30:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,LISBOA,VILA FRANCA DE XIRA,Póvoa de Santa Iria e Forte da Casa,PÓVOA DE SANTA IRIA,"38,8600598393428","-9,08010903601846",1,3,0,0,
2018110011407,16/01/2018 16:27:00,16/01/2018 16:51:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,LISBOA,LOURES,Moscavide e Portela,MOSCAVIDE E PORTELA,"38,78192367","-9,109503516",1,2,0,0,
2018110012381,17/01/2018 22:28:00,17/01/2018 23:35:00,Riscos Tecnológicos / Acidentes / Despiste,Encerrada,LISBOA,SINTRA,Massamá e Monte Abraão,Massamá,"38,753778","-9,280008",3,11,0,0,
2018020001446,17/01/2018 14:11:00,17/01/2018 17:45:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,BEJA,FERREIRA DO ALENTEJO,Alfundão e Peroguarda,Alfundão,"38,1145657212851","-8,04459244342816",2,4,0,0,
2018010005283,18/01/2018 18:41:00,,Riscos Tecnológicos / Incêndios Urbanos ou em Área Urbanizável / Habitacional,Conclusão,AVEIRO,ANADIA,Arcos e Mogofores,ANADIA,"40,438781","-8,433666",2,4,0,0,
2018030005361,18/01/2018 13:20:00,18/01/2018 14:10:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Intoxicação,Encerrada,BRAGA,VILA NOVA DE FAMALICÃO,Antas e Abade de Vermoim,ANTAS E ABADE DE VERMOIM,"41,39912359","-8,505134346",1,2,0,0,
2018130011227,19/01/2018 22:56:00,,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Em Curso,PORTO,VILA DO CONDE,Vila do Conde,Vila do Conde,"41,3594684498252","-8,74571429982435",1,2,0,0,
2018110013762,19/01/2018 16:41:00,19/01/2018 17:24:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,LISBOA,ODIVELAS,Odivelas,ODIVELAS,"38,7934252116658","-9,18281289015313",1,2,0,0,
2018140003627,19/01/2018 07:40:00,,Riscos Tecnológicos / Acidentes / Despiste,Em Resolução,SANTARÉM,SANTARÉM,"Marvila, Ribeira Santarém, S.Salvador, S.Nicolau",Vale de Estacas,"39,24988","-8,69379",3,9,0,0,
2018010005847,20/01/2018 18:20:00,20/01/2018 18:55:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,AVEIRO,VALE DE CAMBRA,São Pedro de Castelões,Entre Pontes,"40,8368755140715","-8,40582254470278",1,2,0,0,
2018130011520,20/01/2018 14:10:00,20/01/2018 15:10:00,Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Limpeza de Via e Sinalização de Perigo,Encerrada,PORTO,VILA NOVA DE GAIA,Pedroso e Seixezelo,PEDROSO,"41,06333","-8,55785",1,2,0,0,
2018160002285,20/01/2018 05:03:00,20/01/2018 05:32:00,Protecção e Assistência a Pessoas e Bens / Intervenção em conflitos legais / Agressão/Violação,Encerrada,VIANA DO CASTELO,VIANA DO CASTELO,Santa Maria Maior e Monserrate e Meadela,Rua de Caminha,"41,703882","-8,81652",1,2,0,0,
2018160002435,21/01/2018 17:34:00,21/01/2018 18:30:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,VIANA DO CASTELO,MONÇÃO,Mazedo e Cortes,AVENIDA DA BOAVISTA - MAZEDO,"42,06145626","-8,498752117",1,4,0,0,
